watershed,month,year,baseline,max_eff,habitat_type,proportion_change
Upper Sacramento River,2,1982,10.53499275995273,36.71138985926659,spawning,2.4847095480520585
Upper Sacramento River,3,1982,29.698264629532222,36.71138985926659,spawning,0.23614596062156615
Upper Sacramento River,4,1982,11.324499682212501,38.8779882317468,spawning,2.433086610688225
Upper Sacramento River,5,1982,61.93833308324854,225.61357068895924,spawning,2.642551542123715
Upper Sacramento River,6,1982,64.87474911673371,225.61357068895924,spawning,2.4776792783120722
Upper Sacramento River,7,1982,52.4511334995795,225.61357068895924,spawning,3.3014050533487134
Upper Sacramento River,8,1982,46.81943648685179,315.4237475008357,spawning,5.7370257134430815
Upper Sacramento River,9,1982,45.99210056171953,315.4237475008357,spawning,5.858215729406615
Upper Sacramento River,10,1982,50.14965573496511,343.3691416948747,spawning,5.846889308862643
Upper Sacramento River,11,1982,59.3146312900869,335.5617370843854,spawning,4.657318098181738
Upper Sacramento River,12,1982,28.97004950971143,335.5617370843854,spawning,10.583057080102586
Upper Sacramento River,1,1983,14.511309588214276,36.71138985926659,spawning,1.5298467816497188
Upper Sacramento River,2,1983,7.208849400428299,36.71138985926659,spawning,4.0925449846525375
Upper Sacramento River,3,1983,7.208849400428299,36.71138985926659,spawning,4.0925449846525375
Upper Sacramento River,4,1983,34.78264823299213,38.8779882317468,spawning,0.11774089112829957
Upper Sacramento River,5,1983,38.48417115323644,225.61357068895924,spawning,4.862503048087229
Upper Sacramento River,6,1983,27.48346842027514,225.61357068895924,spawning,7.209064708969531
Upper Sacramento River,7,1983,23.852544577601055,225.61357068895924,spawning,8.458679343621212
Upper Sacramento River,8,1983,35.89568690046352,315.4237475008357,spawning,7.787232526723502
Upper Sacramento River,9,1983,35.783361897324205,315.4237475008357,spawning,7.814815902594729
Upper Sacramento River,10,1983,51.302646552462726,343.3691416948747,spawning,5.693010298089421
Upper Sacramento River,11,1983,25.860422924836822,335.5617370843854,spawning,11.975879708529662
Upper Sacramento River,12,1983,10.035661651714866,335.5617370843854,spawning,32.436932085792826
Upper Sacramento River,1,1984,56.09943056873777,36.71138985926659,spawning,-0.34560138156331754
Upper Sacramento River,2,1984,64.97355639560124,36.71138985926659,spawning,-0.4349795225038354
Upper Sacramento River,3,1984,42.90899886257055,36.71138985926659,spawning,-0.14443611288051103
Upper Sacramento River,4,1984,65.72928029226908,38.8779882317468,spawning,-0.4085134043933913
Upper Sacramento River,5,1984,61.13052618590358,225.61357068895924,spawning,2.690685894030219
Upper Sacramento River,6,1984,51.599901997598835,225.61357068895924,spawning,3.3723643254101145
Upper Sacramento River,7,1984,24.019245399280177,225.61357068895924,spawning,8.39303325056667
Upper Sacramento River,8,1984,56.445479505642275,315.4237475008357,spawning,4.588113525890165
Upper Sacramento River,9,1984,57.021254533201564,315.4237475008357,spawning,4.531687264389721
Upper Sacramento River,10,1984,67.26391559715752,343.3691416948747,spawning,4.104804539648076
Upper Sacramento River,11,1984,42.44410818333394,335.5617370843854,spawning,6.9059674345130135
